business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Little Buds Preschool & Day Care Kasba , Kolkata",Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Playgroup",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 91632 87149,http://littlebuds.co.in/,4.9,,"29, Sector F, East Kolkata Twp, opposite Gst Bhawan, nearby Narkelbagan Play Ground, Kasba, Kolkata, West Bengal 700107","Sector F, Kasba",22.5099175,88.3967436,ChIJU8MhGoVxAjoR5qy-VDb8AqM,https://www.google.com/maps/place/?q=place_id:ChIJU8MhGoVxAjoR5qy-VDb8AqM,part_314,2026-09-20 20:17:23
KIDZ Haven | Montessori School,Play School and Daycare,Day care center,"Day care center, Kindergarten School, Montessori preschool, Nursery school, Playgroup, Preschool, Primary school",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 98307 17376,https://kidzhaven.in/,4.8,,"5/6, Dhakuria, Sahid Nagar, Dhakuria, Kolkata, West Bengal 700031","Dhakuria, Sahid Nagar, Dhakuria",22.5026983,88.3796033,ChIJZWE5aThxAjoRJFBRPYdDNsA,https://www.google.com/maps/place/?q=place_id:ChIJZWE5aThxAjoRJFBRPYdDNsA,part_314,2026-09-20 20:17:23
Birla Open Minds Preschool Kalikapur,Play School and Daycare,Preschool,Preschool,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 91471 61880,https://www.birlaopenminds.com/preschool/West-Bengal/Kalikapur/,5.0,,"19, E Purbachal Canal Rd, North Purbachal, Haltu, Kolkata, West Bengal 700078","North Purbachal, Haltu",22.504504,88.39647099999999,ChIJnc2V7wlxAjoRpujHaEZpz9E,https://www.google.com/maps/place/?q=place_id:ChIJnc2V7wlxAjoRpujHaEZpz9E,part_314,2026-09-20 20:17:23
"FirstCry Intellitots Preschool & Daycare - Kasba, Kolkata",Play School and Daycare,Preschool,"Preschool, Kindergarten School, Learning center, Nursery school, Playgroup, Primary school",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 90515 29955,https://www.firstcry.com/intelli/intellitots/preschool-near-you/kolkata/kasba/?utm_source=google&utm_medium=cpc&utm_campaign=Promotion,4.5,,"1977, GE-05, Rajdanga Main Road, P.S, Kasba, Kolkata, West Bengal 700107","P.S, Kasba",22.5119153,88.39939,ChIJm84hUkNxAjoRgmWhuBDTKRQ,https://www.google.com/maps/place/?q=place_id:ChIJm84hUkNxAjoRgmWhuBDTKRQ,part_314,2026-09-20 20:17:23
"PLUTO - Play School, Day Care & Activity Centre Mukundapur",Play School and Daycare,Preschool,Preschool,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 89101 43147,https://www.plutokids.in/,5.0,,"39B, Satyajit Kanan Rd, opposite Avidipta Housing Society, Mukundapur Colony, Satyajit Kanan, Santoshpur, Kolkata, West Bengal 700099","Mukundapur Colony, Satyajit Kanan, Santoshpur",22.4903627,88.39853049999999,ChIJMQub8GhxAjoR78cjSKlcwEU,https://www.google.com/maps/place/?q=place_id:ChIJMQub8GhxAjoR78cjSKlcwEU,part_314,2026-09-20 20:17:23
"EuroKids Preschool in Kasba, Kolkata",Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Montessori school, Nursery school, Playgroup",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 96749 36979,https://www.eurokidsindia.com/preschool-in-kolkata/kasba-rk-chatterjee-road/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,4.8,,"67D, Rajkrishna Chatterjee Rd, Bosepukur, Kasba, Kolkata, West Bengal 700042","Bosepukur, Kasba",22.518864,88.38015229999999,ChIJt5UU-cp2AjoR9ItG2K-07b8,https://www.google.com/maps/place/?q=place_id:ChIJt5UU-cp2AjoR9ItG2K-07b8,part_314,2026-09-20 20:17:23
Kids World Garfa,Play School and Daycare,Preschool,"Preschool, Kindergarten School, Montessori preschool, Montessori school",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 98368 61455,http://www.kidsworldgarfa.com/,4.9,,"Post Office, 18/1, Raj Krishna Pal Ln, opposite Garfa, Dhakuria, Garfa, Kolkata, West Bengal 700075","Dhakuria, Garfa",22.4995361,88.3829205,ChIJZeh7WD9xAjoRe8OhHweTbR4,https://www.google.com/maps/place/?q=place_id:ChIJZeh7WD9xAjoRe8OhHweTbR4,part_314,2026-09-20 20:17:23
"Olive Garden Pre-School-Best Day Care, Crèche, Activity Classes Jadavpur Ajoynagar South Kolkata",Play School and Daycare,Day care center,"Day care center, Preschool, School",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 97486 62378,https://www.olivegardenpreschool.com/,4.7,,"B242, Landmark: Homeorashayan, near Neelpukur, Survey Park, Santoshpur, Kolkata, West Bengal 700075","Survey Park, Santoshpur",22.4940349,88.3898494,ChIJO-QY9SdxAjoRuAsWqhoJRZU,https://www.google.com/maps/place/?q=place_id:ChIJO-QY9SdxAjoRuAsWqhoJRZU,part_314,2026-09-20 20:17:23
"Empower playschool,creche and activity centre",Play School and Daycare,Preschool,Preschool,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 98310 92295,N/A,4.9,,"Block GJ , Plot No. II, 632, Rajdanga Main Road, Sector G, East Calcutta Township, Kolkata, West Bengal 700107","Sector G, East Kolkata Township",22.5099108,88.3998137,ChIJqwEqe1ZxAjoRy6I5vmBh93I,https://www.google.com/maps/place/?q=place_id:ChIJqwEqe1ZxAjoRy6I5vmBh93I,part_314,2026-09-20 20:17:23
"EuroKids Preschool in Kasba, Kolkata",Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Montessori school, Nursery school, Playgroup",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 70442 34888,https://www.eurokidsindia.com/preschool-in-kolkata/kasba/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,4.8,,"Mini Bus Stand, 444, P Majumder Rd, opp. House of P Majumder, Kabardanga, Kasba, Kolkata, West Bengal 700078","Kabardanga, Kasba",22.510353,88.3884071,ChIJv7O1WElxAjoR3odW9_GKc5Y,https://www.google.com/maps/place/?q=place_id:ChIJv7O1WElxAjoR3odW9_GKc5Y,part_314,2026-09-20 20:17:23
