business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Advocate Robin Singha,Advocate and Lawyer,Lawyer,"Lawyer, Civil defense, Civil law attorney, Criminal justice attorney, Divorce lawyer, Family law attorney, Law firm, Legal services, Real estate attorney, Trial attorney",700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 94324 91873,N/A,5.0,99.0,"21, Shyampukur St, Sovabazar, Hati Bagan, Shobhabazar, Kolkata, West Bengal 700004","Sovabazar, Hati Bagan, Shobhabazar",22.5969894,88.3696667,ChIJJxv3MeN3AjoRIwqcsHOjxVs,https://www.google.com/maps/place/?q=place_id:ChIJJxv3MeN3AjoRIwqcsHOjxVs,part_313,2026-09-20 20:22:16
"Manas Das, Advocate",Advocate and Lawyer,Lawyer,Lawyer,700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 98367 79938,N/A,4.5,2.0,"2F, Nritya Gopal Chatterjee Ln, Tala, Paikpara, Kolkata, West Bengal 700037","Tala, Paikpara",22.612064999999998,88.379516,ChIJ2WR0tFKd-DkR4FSE1SQRfq8,https://www.google.com/maps/place/?q=place_id:ChIJ2WR0tFKd-DkR4FSE1SQRfq8,part_313,2026-09-20 20:22:16
ADVOCATE RITWICK CHAKRABORTY,Advocate and Lawyer,Lawyer,Lawyer,700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",N/A,N/A,,,"64/1/26 A BELGACHIA ROAD DUTTA BAGAN, near CENTRAL BANK AND UCO BANK, Milk Colony, BIRENDRANAGAR, Kolkata, West Bengal 700037","Milk Colony, BIRENDRANAGAR",22.604754699999997,88.39200559999999,ChIJs5RSvn93AjoRYN_oQwTdJ30,https://www.google.com/maps/place/?q=place_id:ChIJs5RSvn93AjoRYN_oQwTdJ30,part_313,2026-09-20 20:22:16
ADVOCATE KUNTAL MUKHERJEE,Advocate and Lawyer,Real estate attorney,"Real estate attorney, Divorce lawyer, Elder law attorney, Family law attorney, Lawyer",700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 98306 99424,N/A,5.0,10.0,"8, Raj Kumar Chatterjee Rd, Tala, Kolkata, West Bengal 700037",Tala,22.6091133,88.3815102,ChIJqz07jZJ3AjoR6GG-N8tPoy4,https://www.google.com/maps/place/?q=place_id:ChIJqz07jZJ3AjoR6GG-N8tPoy4,part_313,2026-09-20 20:22:16
Advocate Diptajit Das Residence cum Chamber,Advocate and Lawyer,Lawyer,"Lawyer, Law firm, Legal affairs bureau, Legal services, Public defender's office",700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 82760 05283,N/A,5.0,14.0,"1/1/H/13, Biplabi Barin Ghosh Sarani, Ultadanga, Kolkata, West Bengal 700067",Ultadanga,22.5881343,88.3813425,ChIJi19XJVl3AjoR5yn_TnrYjNY,https://www.google.com/maps/place/?q=place_id:ChIJi19XJVl3AjoR5yn_TnrYjNY,part_313,2026-09-20 20:22:16
Advocate Nirayan Roy's Chamber,Advocate and Lawyer,Law firm,Law firm,700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 87774 35352,N/A,4.9,17.0,"19, Balaram Ghosh St, Hati Bagan, Shyam Bazar, Kolkata, West Bengal 700004","Hati Bagan, Shyam Bazar",22.5990172,88.37140889999999,ChIJ53GLpS93AjoRdkH1iErWLhA,https://www.google.com/maps/place/?q=place_id:ChIJ53GLpS93AjoRdkH1iErWLhA,part_313,2026-09-20 20:22:16
Advocate Ravi Barle,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",N/A,https://sites.google.com/view/advocate-ravi-barle/home,5.0,3.0,"1st Floor, Ramkrishna Sarda Math & Vivekananda Mission, 10, Ramakrishna Ln, Baghbazar, Kolkata, West Bengal 700003",Baghbazar,22.6068659,88.3680861,ChIJ66QLaHp3AjoRpjS3rA5iIuw,https://www.google.com/maps/place/?q=place_id:ChIJ66QLaHp3AjoRpjS3rA5iIuw,part_313,2026-09-20 20:22:16
Advocate in Calcutta,Advocate and Lawyer,Lawyer,Lawyer,700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 89612 17811,N/A,5.0,1.0,"127B, Grey St, Sovabazar, Hati Bagan, Shyam Bazar, Kolkata, West Bengal 700004","Sovabazar, Hati Bagan, Shyam Bazar",22.5946255,88.3722865,ChIJb4m2XbZ3AjoReBPj3Za7R30,https://www.google.com/maps/place/?q=place_id:ChIJb4m2XbZ3AjoReBPj3Za7R30,part_313,2026-09-20 20:22:16
Advocate Raichand Baid,Advocate and Lawyer,Lawyer,"Lawyer, Law firm",700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 98307 68860,N/A,5.0,9.0,"13, 1/1, Ariff Rd, Daspara, Ultadanga, Kolkata, West Bengal 700067","Daspara, Ultadanga",22.5969379,88.3812185,ChIJr8o5ahZ2AjoRJpL5wrGMprY,https://www.google.com/maps/place/?q=place_id:ChIJr8o5ahZ2AjoRJpL5wrGMprY,part_313,2026-09-20 20:22:16
Legalution | Legal Consultation | Hire Lawyer Online | Legal Advice Online,Advocate and Lawyer,Lawyer,"Lawyer, Legal services",700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 91236 29090,https://www.legalution.in/,4.7,41.0,"3/2Q, Sreenath Mukherjee Ln, Noongola Basti, Paikpara, Kolkata, West Bengal 700030","Noongola Basti, Paikpara",22.6171348,88.38679959999999,ChIJG1TLxkqd-DkRNBtkSqcNu9o,https://www.google.com/maps/place/?q=place_id:ChIJG1TLxkqd-DkRNBtkSqcNu9o,part_313,2026-09-20 20:22:16
Advocate Priyabrata Dey Chamber,Advocate and Lawyer,Law firm,Law firm,700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 98755 49415,N/A,5.0,21.0,"16/2, Biplabi Barin Ghosh Sarani, Ultadanga, Kolkata, West Bengal 700067",Ultadanga,22.5901279,88.385621,ChIJ0wtrMQB3AjoRPJ-Deh6ZyTk,https://www.google.com/maps/place/?q=place_id:ChIJ0wtrMQB3AjoRPJ-Deh6ZyTk,part_313,2026-09-20 20:22:16
Advocate Sayanti Ganguly,Advocate and Lawyer,Legal services,Legal services,700037,West Bengal Circle,Kolkata Region,Kolkata North Division,"Belgachia SO, Belgachia Road SO, Northern Avenue SO",+91 76879 53498,N/A,4.9,19.0,"First Floor, Sun Apartment, Kundubagan, Ghughudanga, Dum Dum, South Dumdum, West Bengal 700074","Kundubagan, Ghughudanga, Dum Dum",22.6190921,88.39529809999999,ChIJt-8TSFGf-DkR7Crc7AsDZkw,https://www.google.com/maps/place/?q=place_id:ChIJt-8TSFGf-DkR7Crc7AsDZkw,part_313,2026-09-20 20:22:16
