business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rahul D Sarker | Content Marketing Consultant,SEO Consultants,Marketing consultant,"Marketing consultant, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98303 81651,https://rahuldsarker.com/,5.0,,"Rahul D Sarker | Content Marketing Consultant, 700127, India",700127,21.0680074,82.7525294,ChIJtdSoy06f-DkRJt2RDSBYHe8,https://www.google.com/maps/place/?q=place_id:ChIJtdSoy06f-DkRJt2RDSBYHe8,part_315,2026-09-20 20:17:34,5554
Originate Soft Pvt. Ltd,SEO Consultants,Software company,"Software company, Website designer",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 90511 41321,https://originatesoft.com/,4.7,103.0,"3rd floor, FB, 3110, FB 40, Rajdanga Main Rd, Sector F, East Kolkata Twp, Kolkata, West Bengal 700107","Sector F, East Kolkata Township",22.512658899999998,88.3971609,ChIJq6C284x1AjoRsCThlX9eTBU,https://www.google.com/maps/place/?q=place_id:ChIJq6C284x1AjoRsCThlX9eTBU,part_315,2026-09-20 20:17:36,5555
Seocial Solutions,SEO Consultants,Software company,"Software company, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,https://www.seocialsolutions.com/,5.0,1.0,"Seocial Solutions, 700127, India",700127,21.0680074,82.7525294,ChIJ6xsyDng_kUMRetgGOOauzY8,https://www.google.com/maps/place/?q=place_id:ChIJ6xsyDng_kUMRetgGOOauzY8,part_315,2026-09-20 20:17:36,5556
Seo specialist,SEO Consultants,Marketing consultant,"Marketing consultant, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,0303 8950430,N/A,5.0,3.0,"Seo specialist, 700127, India",700127,30.9658895,70.9501612,ChIJu7_rCbBqGY0RXg89cJVug4o,https://www.google.com/maps/place/?q=place_id:ChIJu7_rCbBqGY0RXg89cJVug4o,part_315,2026-09-20 20:17:36,5557
SEO India,SEO Consultants,Internet marketing service,"Internet marketing service, Service establishment",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 93106 99171,http://seoindia.co/,5.0,,"SEO India, 700128, India",700128,14.157641199999999,0.0,ChIJiXsMlHTT9K4RbkJ86fXtKDE,https://www.google.com/maps/place/?q=place_id:ChIJiXsMlHTT9K4RbkJ86fXtKDE,part_315,2026-09-20 20:18:21,9155
Kristi Web World |Digital Marketing Traning | Digital Marketing Service,SEO Consultants,Education center,"Education center, Internet marketing service",700129,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram SO, East Udayrajpur BO, Udayrajpur BO",+91 79806 75250,https://kristiwebworld.com/,5.0,33.0,"Sodepur Rd, Subhasgarh, Badamtala, Madhyamgram, Kolkata, West Bengal 700130","Subhasgarh, Badamtala, Madhyamgram",22.697028,88.444091,ChIJt8tzPuef-DkRV8nnTDALCQw,https://www.google.com/maps/place/?q=place_id:ChIJt8tzPuef-DkRV8nnTDALCQw,part_315,2026-09-20 20:19:07,11778
Custom Webby Solutions,SEO Consultants,Internet marketing service,Internet marketing service,700130,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram Bazar SO, Korachandigarh BO, Taldharia Kapasia BO",+91 78900 06709,https://www.customwebby.com/,4.8,19.0,"232, Sabitri Pally, Bisharpara, Birati, Chandpur, West Bengal 700110","Bisharpara, Birati",22.6836883,88.42506739999999,ChIJS-73B-qe-DkRhyJtUOsWJFM,https://www.google.com/maps/place/?q=place_id:ChIJS-73B-qe-DkRhyJtUOsWJFM,part_315,2026-09-20 20:19:54,14759
Krishna SEO Expert in Bangalore,SEO Consultants,Internet marketing service,"Internet marketing service, Business development service, Marketing agency, Marketing consultant, Website designer",700130,West Bengal Circle,Kolkata Region,Barasat Division,"Madhyamgram Bazar SO, Korachandigarh BO, Taldharia Kapasia BO",+91 87925 38715,https://krishnaseo.com/,4.8,122.0,"# 1st Floor, 746, 13th A Cross Road, Nagarbhavi, Bengaluru, Karnataka 560072","Arundhati Nagar, Nagarbhavi 1st Stage, BDA Lay Out, Chandra Layout",12.957156999999999,77.52380699999999,ChIJxf7JxXs-rjsRF8KftlnBwno,https://www.google.com/maps/place/?q=place_id:ChIJxf7JxXs-rjsRF8KftlnBwno,part_315,2026-09-20 20:19:55,14760
Freelance SEO|Digital Marketing Solution Kolkata|SEO Services|SMO Services,SEO Consultants,Internet marketing service,"Internet marketing service, Business development service, Business to business service, Marketing agency, Marketing consultant",700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",+91 79807 63871,https://sites.google.com/view/digital-marketing-solution-kol/,5.0,,"1, 100, Bijoygarh, Regent Estate, Jadavpur, Kolkata, West Bengal 700092","Bijoygarh, Regent Estate, Jadavpur",22.4875909,88.367915,ChIJfykFz9BxAjoR5YY04qP1AbQ,https://www.google.com/maps/place/?q=place_id:ChIJfykFz9BxAjoR5YY04qP1AbQ,part_315,2026-09-20 20:20:40,16379
Devwebs Tech Solution,SEO Consultants,Website designer,Website designer,700131,West Bengal Circle,Kolkata Region,Barasat Division,"Newbarrackpur SO, Aharampur BO, Kodalia Agapur BO",+91 91239 66315,https://devwebs.co.in/,5.0,13.0,"Chandigarh, Katakhal, Kolkata, West Bengal 700132","Chandigarh, Katakhal",22.6752732,88.4530345,ChIJR93XPeCf-DkRksQsoNq6vL8,https://www.google.com/maps/place/?q=place_id:ChIJR93XPeCf-DkRksQsoNq6vL8,part_315,2026-09-20 20:20:41,16380
Deep Bhardwaj,SEO Consultants,Internet marketing service,"Internet marketing service, Marketing agency, Marketing consultant, Website designer",700132,West Bengal Circle,Kolkata Region,Barasat Division,"Ganganagar SO North 24 Parganas, Ganti BO",+91 96503 81400,https://deepbhardwaj.com/,4.9,,"FIRST FLOOR, NEELAM AJRONDA CHOWK, METRO STATION, &work Co-working, PLOT NO. 5B, Sector 15A, Faridabad, Haryana 121007",Sector 15A,28.393770999999997,77.31475999999999,ChIJNSNnI6_eDDkRHeo0-kBENv0,https://www.google.com/maps/place/?q=place_id:ChIJNSNnI6_eDDkRHeo0-kBENv0,part_315,2026-09-20 20:21:29,17779
Manashi - SEO Expert Freelancer Kolkata,SEO Consultants,Internet marketing service,"Internet marketing service, Marketing consultant, Website designer",700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 83460 71158,N/A,4.9,8.0,"near Pallysree Playground, Madhyamgram Municipality Ward 19, Bidhanpally, Madhyamgram, Kolkata, West Bengal 700132","Madhyamgram Municipality Ward 19, Bidhanpally, Madhyamgram",22.6837917,88.4565885,ChIJHyK0l5mvu6oRsb5bFXzE90o,https://www.google.com/maps/place/?q=place_id:ChIJHyK0l5mvu6oRsb5bFXzE90o,part_315,2026-09-20 20:22:09,18961
ModernSeva,SEO Consultants,Website designer,"Website designer, Computer support and services, Software company",700135,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat SO, Akandakeshari BO, Bagu BO",+91 99036 53816,https://modernseva.in/,4.9,,"Raigachi Seshmore, Rajarhat, Raigachi, Kolkata, West Bengal 700135","Indira Nagar, Raigachi, Rajarhat",22.6358543,88.4773396,ChIJ27Dwd1Gf-DkRBueS2fLiXrA,https://www.google.com/maps/place/?q=place_id:ChIJ27Dwd1Gf-DkRBueS2fLiXrA,part_315,2026-09-20 20:23:42,23669
Webzee Infotech Pvt. Ltd.,SEO Consultants,Software company,"Software company, Marketing agency, Website designer",700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",+91 89106 52907,https://webzeeinfotech.com/,5.0,20.0,"Unit No -516, 5th floor, Street No. 1111 (Major Arterial Road Mouza – Noapara, J.L, Plot No IID/31/1,, NH 12, Newtown PS QUBE, Kolkata, West Bengal 700161","Action Area II, Action Area IID, Rajarhat",22.6241479,88.4520807,ChIJcdrMTGaf-DkRW6cXQDTK7es,https://www.google.com/maps/place/?q=place_id:ChIJcdrMTGaf-DkRW6cXQDTK7es,part_315,2026-09-20 20:24:37,25870
Websfirm Technologies,SEO Consultants,Internet marketing service,"Internet marketing service, Advertising agency, Branding agency, Business development service, Marketing agency, Marketing consultant",700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",+91 63068 94259,https://websfirm.com/seo-services-in-kolkata/,4.9,,"Bagdiha, Indpur, West Bengal 722136",700136,23.1721005,86.9536428,ChIJ11VCk9EXF2QRujg7_D6mMdg,https://www.google.com/maps/place/?q=place_id:ChIJ11VCk9EXF2QRujg7_D6mMdg,part_315,2026-09-20 20:24:39,25871
Technical Kalyan,SEO Consultants,Internet marketing service,"Internet marketing service, Advertising agency, Graphic designer, Marketing agency, Marketing consultant, Website designer",700139,West Bengal Circle,Kolkata Region,South Presidency Division,"Vivekananda Pally SO, Daulatpur BO, Memanpur Chandannagar BO",+91 90882 76890,https://technicalkalyan.com/seo-expert-in-kolkata/,4.8,,"near Sanghati Club, Block 4, Jatindas Nagar, Belghoria, Kolkata, West Bengal 700056","Block 4, Jatindas Nagar, Belghoria",22.656588499999998,88.3943345,ChIJAQAAANOd-DkRJYIAukvI4Zg,https://www.google.com/maps/place/?q=place_id:ChIJAQAAANOd-DkRJYIAukvI4Zg,part_315,2026-09-20 20:26:51,30173
Suvendu Mondal - SEO Expert Freelancer & Digital Marketing Consultant Kolkata,SEO Consultants,Internet marketing service,"Internet marketing service, Service establishment",700141,West Bengal Circle,Kolkata Region,South Presidency Division,"Mahestala SO, Ashuti BO, Boga Noapara BO",+91 98831 93881,http://suvenduseofreelancerkolkata.weebly.com/,,,"Suvendu Mondal - SEO Expert Freelancer & Digital Marketing Consultant Kolkata, 700141, India",700141,22.5348398,88.3473528,ChIJbW3E8VB_3yIROIOG3CanFdI,https://www.google.com/maps/place/?q=place_id:ChIJbW3E8VB_3yIROIOG3CanFdI,part_315,2026-09-20 20:28:23,34142
