business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SOURAV CHATTERJEE HOUSE,Property Developers,Housing development,Housing development,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,5.0,,"G5C5+VC5, Beldubi, Nalpur, Gharbhanga Basudebpur, Howrah, West Bengal 711310","Beldubi, Nalpur",22.5221339,88.15862039999999,ChIJgUMeUgCBAjoREYVqNKl1Ohw,https://www.google.com/maps/place/?q=place_id:ChIJgUMeUgCBAjoREYVqNKl1Ohw,part_316,2026-09-20 20:32:01
Kunal Chakraborty,Property Developers,Housing development,Housing development,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,5.0,,"G547+G7F, Domjur - Bauria Rd, Santoshpur, Nalpur, Burikhali, West Bengal 711310","Santoshpur, Nalpur",22.5066739,88.16280689999999,ChIJPbaePACHAjoRUjqy7gVPOvc,https://www.google.com/maps/place/?q=place_id:ChIJPbaePACHAjoRUjqy7gVPOvc,part_316,2026-09-20 20:32:01
Mainak Chakraborty,Property Developers,Housing development,Housing development,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,5.0,,"G547+M3W, Santoshpur, Nalpur, Burikhali, Howrah, West Bengal 711310","Santoshpur, Nalpur",22.506726099999998,88.16270589999999,ChIJL240ZACHAjoRSF567Nmjio4,https://www.google.com/maps/place/?q=place_id:ChIJL240ZACHAjoRSF567Nmjio4,part_316,2026-09-20 20:32:01
Anilanjali Aponalay,Property Developers,Housing society,Housing society,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,5.0,,"G5JF+XG8, Beldubi, Nalpur, Howrah, West Bengal 711310","Beldubi, Nalpur",22.5324064,88.1738431,ChIJd4vRAQB_AjoRJT15nDvLwQY,https://www.google.com/maps/place/?q=place_id:ChIJd4vRAQB_AjoRJT15nDvLwQY,part_316,2026-09-20 20:32:01
Sahapur Panchal Howrah,Property Developers,Housing society,Housing society,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,4.5,,"G588+W3C, Sahapur Rd, Sahapur, Nalpur, Howrah, West Bengal 711310","Sahapur, Nalpur",22.517311799999998,88.1651431,ChIJExbJEgCBAjoR8m93rDmX-L8,https://www.google.com/maps/place/?q=place_id:ChIJExbJEgCBAjoR8m93rDmX-L8,part_316,2026-09-20 20:32:01
Suraj Land,Property Developers,Housing society,Housing society,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,5.0,,"105, Domjur - Bauria Rd, Santoshpur, Bauria, Burikhali, West Bengal 711310","Santoshpur, Bauria",22.506786299999998,88.15898,ChIJQfkrYxeHAjoRwdDfGNg8S30,https://www.google.com/maps/place/?q=place_id:ChIJQfkrYxeHAjoRwdDfGNg8S30,part_316,2026-09-20 20:32:01
Mostakin Home,Property Developers,Housing society,Housing society,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,,,"G5CG+8GR, Sahapur, Nalpur, Panchla, Howrah, West Bengal 711310","Sahapur, Nalpur",22.5208558,88.1762601,ChIJt33XFwB_AjoRHFghW4RpBqg,https://www.google.com/maps/place/?q=place_id:ChIJt33XFwB_AjoRHFghW4RpBqg,part_316,2026-09-20 20:32:01
Rina kul Shubha kul,Property Developers,Housing development,Housing development,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,5.0,,"G575+33W, Santoshpur, Nalpur, Howrah, West Bengal 711310","Santoshpur, Nalpur",22.5123268,88.157861,ChIJxYNXGgCHAjoRR0rYKnJve9o,https://www.google.com/maps/place/?q=place_id:ChIJxYNXGgCHAjoRR0rYKnJve9o,part_316,2026-09-20 20:32:01
Khajapur,Property Developers,Housing development,Housing development,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,,,"G5G7+556, Beldubi, Nalpur, Khayjapur, Howrah, West Bengal 711322","Beldubi, Nalpur",22.5258476,88.1637875,ChIJlSPEQQCBAjoRN4uTofncTzA,https://www.google.com/maps/place/?q=place_id:ChIJlSPEQQCBAjoRN4uTofncTzA,part_316,2026-09-20 20:32:01
Manna House,Property Developers,Housing development,Housing development,711310,West Bengal Circle,South Bengal Region,Howrah Division,"Fortgloster SO, Burikhali BO, Hirapur BO",N/A,N/A,5.0,,"G543+7XJ, Santoshpur, Nalpur, Burikhali, Howrah, West Bengal 711310","Santoshpur, Nalpur",22.5063237,88.15399169999999,ChIJe4rieWqHAjoRNIsyALk7kEQ,https://www.google.com/maps/place/?q=place_id:ChIJe4rieWqHAjoRNIsyALk7kEQ,part_316,2026-09-20 20:32:01
