business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr Asok Datta Chamber,Doctors,Doctor,Doctor,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,4.9,,"42/A, Nilmoni Som St, Bhadrakali, Uttarpara, Debaipukur, West Bengal 712232",Bhadrakali,22.674201999999998,88.34864569999999,ChIJuabKND2d-DkRZjUTtx1UDQ8,https://www.google.com/maps/place/?q=place_id:ChIJuabKND2d-DkRZjUTtx1UDQ8,part_317,2026-09-20 20:33:00
DR.DEBRAJ BHATTACHARYA CLINIC,Doctors,Medical Center,Medical Center,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 91233 18876,N/A,4.8,,"49, Dwarik Jungle Rd, Bhadrakali, Uttarpara, Debaipukur, West Bengal 712232",Bhadrakali,22.6769663,88.3474671,ChIJV2uGShmd-DkRQZ3ijfaf6FA,https://www.google.com/maps/place/?q=place_id:ChIJV2uGShmd-DkRQZ3ijfaf6FA,part_317,2026-09-20 20:33:00
"Dr. Tanaya Bhowmik , MBBS",Doctors,Doctor,Doctor,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 77548 52346,N/A,5.0,,"Shree Bhumi, 3 no Police Lane , Napit Para , Bhadra kali, Hindmotor, Uttarpara, West Bengal 712232",Hindmotor,22.681590999999997,88.35283419999999,ChIJTzgOj3Od-DkRn7Ku5-x5KBM,https://www.google.com/maps/place/?q=place_id:ChIJTzgOj3Od-DkRn7Ku5-x5KBM,part_317,2026-09-20 20:33:00
Dr. Manoj karak,Doctors,Doctor,Doctor,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,4.3,,"108/new station road Udyan appartment, Hindmotor, Kolkata, West Bengal 712232",Hindmotor,22.6813018,88.3466435,ChIJhzGpxQqd-DkRaJbHps-Xljo,https://www.google.com/maps/place/?q=place_id:ChIJhzGpxQqd-DkRaJbHps-Xljo,part_317,2026-09-20 20:33:00
Dr. Ashis Baran Saha,Doctors,General practitioner,"General practitioner, Diabetologist, Doctor, Health consultant",712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 98300 26865,https://drashisbaransaha.in/,3.9,,"155, Bijay Krishna St, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.666938,88.3474887,ChIJxUR0kOac-DkRAFClU5wu0r8,https://www.google.com/maps/place/?q=place_id:ChIJxUR0kOac-DkRAFClU5wu0r8,part_317,2026-09-20 20:33:00
"Sankar Diabetes, Thyroid And Hypertension Clinic",Doctors,Diabetologist,"Diabetologist, Endocrinologist",712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 94770 74001,N/A,4.9,85.0,"104/5, Ramlal Dutta Rd, Bhadrakali, Uttarpara, West Bengal 712232",Bhadrakali,22.671084399999998,88.3462467,ChIJUR3B3eec-DkROjP5CXyYLBY,https://www.google.com/maps/place/?q=place_id:ChIJUR3B3eec-DkROjP5CXyYLBY,part_317,2026-09-20 20:33:00
Dr Sayantan Saha-Pulmonologist,Doctors,Doctor,Doctor,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 80164 80900,N/A,4.8,,"28 B, GT Rd, beside Bhadrakali High School, Bhadrakali, Bhadrakali, Uttarpara, West Bengal 712232",Bhadrakali,22.669826999999998,88.35153799999999,ChIJ61AsCKqd-DkRCY3DR-umtQU,https://www.google.com/maps/place/?q=place_id:ChIJ61AsCKqd-DkRCY3DR-umtQU,part_317,2026-09-20 20:33:00
Dr. Nishith Bera's Clinic,Doctors,Doctor,Doctor,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,5.0,,"7/1, KKD Chaterjee Rd, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.6653005,88.3501266,ChIJAeoceeSc-DkRuY8zWINeCok,https://www.google.com/maps/place/?q=place_id:ChIJAeoceeSc-DkRuY8zWINeCok,part_317,2026-09-20 20:33:00
Dr Kausik Datta,Doctors,Cardiologist,Cardiologist,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 33 2674 5259,http://www.drkausikdatta.in/,3.6,,"71 Prasanta Datta Sarani, PO, Bhadrakali, Uttarpara, West Bengal 712232",Bhadrakali,22.6711061,88.3469793,ChIJqWheEEKd-DkRDz5eVo0YyzM,https://www.google.com/maps/place/?q=place_id:ChIJqWheEEKd-DkRDz5eVo0YyzM,part_317,2026-09-20 20:33:00
Dr Snehasis Barman,Doctors,ENT Specialist,ENT Specialist,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 98310 47663,N/A,4.9,,"239, 3, GT Rd, opposite IDBI Bank, Ramghat, Kotrung, Uttarpara, West Bengal 712258","Ramghat, Kotrung",22.663756,88.3501407,ChIJPT8YRO-d-DkRsMuv4vm1XO4,https://www.google.com/maps/place/?q=place_id:ChIJPT8YRO-d-DkRsMuv4vm1XO4,part_317,2026-09-20 20:33:01
Dr Debidas Chaterjee Chember,Doctors,Doctor,Doctor,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,4.6,,"105/1, Raj Mohan Rd, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.666193099999997,88.3458855,ChIJE2-9I46d-DkR0j4Gr-P3VCY,https://www.google.com/maps/place/?q=place_id:ChIJE2-9I46d-DkR0j4Gr-P3VCY,part_317,2026-09-20 20:33:01
Biswas Ortho Care - Dr Subhanwita Biswas,Doctors,Orthopedic clinic,"Orthopedic clinic, Orthopedic surgeon",712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,5.0,,"78, Rajendra Ave, beside CA Ground, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.6683242,88.3431356,ChIJ0bVin42d-DkRVr2dTynDgqg,https://www.google.com/maps/place/?q=place_id:ChIJ0bVin42d-DkRVr2dTynDgqg,part_317,2026-09-20 20:33:01
Raat Deen Doctor's Polyclinic,Doctors,Doctor,Doctor,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 33 2694 1365,N/A,5.0,2.0,"Dwarick Jungle Street, 3, Radha Gobinda Nagar Rd, Dwarick Jungle Street, Hindmotor, Uttarpara, West Bengal 712232","Dwarick Jungle Street, Hindmotor",22.6835909,88.34927979999999,ChIJQzCGn5Sc-DkRzh2WrA3_xvY,https://www.google.com/maps/place/?q=place_id:ChIJQzCGn5Sc-DkRzh2WrA3_xvY,part_317,2026-09-20 20:33:01
Dr. Raktim Panja,Doctors,Occupational medical physician,Occupational medical physician,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,5.0,1.0,"M8MW+2X7, Deshbandhu Nagar Rd, Hindmotor, Uttarpara, Debaipukur, West Bengal 712232",Hindmotor,22.6825367,88.347415,ChIJcZaJWwCd-DkRMNWnKnRa2iY,https://www.google.com/maps/place/?q=place_id:ChIJcZaJWwCd-DkRMNWnKnRa2iY,part_317,2026-09-20 20:33:01
PRIYAM TRADING,Doctors,Wholesaler,Wholesaler,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,+91 83369 15879,N/A,5.0,3.0,"47, Dr K.K. Ghosh Rd, Bhadrakali, Uttarpara, Debaipukur, West Bengal 712232",Bhadrakali,22.6783271,88.3502487,ChIJf9sraOWd-DkRTgHXf77Zx6U,https://www.google.com/maps/place/?q=place_id:ChIJf9sraOWd-DkRTgHXf77Zx6U,part_317,2026-09-20 20:33:02
GHOSH MEDICAL STORES,Doctors,Medical Center,Medical Center,712232,West Bengal Circle,South Bengal Region,Hooghly South Division,Bhadrakali SO,N/A,N/A,4.3,3.0,"P8FV+CV8, NK Banerjee St, Morepukur, Kali Tala, Bangur Park, Rishra, West Bengal 712248","Morepukur, Kali Tala, Bangur Park, Rishra",22.723528599999998,88.34471459999999,ChIJE52xk2mb-DkRDEtM1ojLFts,https://www.google.com/maps/place/?q=place_id:ChIJE52xk2mb-DkRDEtM1ojLFts,part_317,2026-09-20 20:33:02
