business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tulika's Bridal Makeup & Mehendi,Bridal Makeup Artist,Make-up artist,Make-up artist,712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",+91 93390 44512,N/A,5.0,1.0,"Purba Thakuranichak, Khanakul, West Bengal 712613",712417,22.696832699999998,87.78503309999999,ChIJP9skSGoL-DkRh7BlD2T9gRI,https://www.google.com/maps/place/?q=place_id:ChIJP9skSGoL-DkRh7BlD2T9gRI,part_318,2026-09-20 20:24:15
Bridal makeup artist Saheli,Bridal Makeup Artist,Make-up artist,Make-up artist,712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",N/A,N/A,5.0,2.0,"MQCM+3H3, Dhanyaghari, West Bengal 721212",712417,22.6698907,87.7848562,ChIJvcCRBQAL-DkR5Ql1GbRcYWo,https://www.google.com/maps/place/?q=place_id:ChIJvcCRBQAL-DkR5Ql1GbRcYWo,part_318,2026-09-20 20:24:15
Madhusree Makeover Studio,Bridal Makeup Artist,Make-up artist,"Make-up artist, Service establishment",712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",N/A,https://www.facebook.com/madhusree.ghosal.mua,4.9,,"Madhusree Makeover Studio, 712417, India",712417,22.3916348,88.5694008,ChIJdT5XIgN3J48Rio5by3sNGwY,https://www.google.com/maps/place/?q=place_id:ChIJdT5XIgN3J48Rio5by3sNGwY,part_318,2026-09-20 20:24:16
Shruti Jain Makeup Artist | Best Bridal Makeup Artist in Kolkata,Bridal Makeup Artist,Make-up artist,"Make-up artist, Service establishment",712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",+91 82299 73611,https://www.instagram.com/alilextra_byshruti/,5.0,,"Shruti Jain Makeup Artist | Best Bridal Makeup Artist in Kolkata, 712417, India",712417,22.5354274,88.3473528,ChIJo2ba3hh3AjoRKgDQEas9_3A,https://www.google.com/maps/place/?q=place_id:ChIJo2ba3hh3AjoRKgDQEas9_3A,part_318,2026-09-20 20:24:16
Debjaniz Makeup Studio & Academy,Bridal Makeup Artist,Make-up artist,"Make-up artist, Charter school",712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",+91 97488 10228,https://debjanizmakeover.com/,5.0,,"Sukchar, Jaiprakash Nagar, Khardah, Kolkata, Khardaha, West Bengal 700115","Sukchar, Jaiprakash Nagar, Khardah",22.709306599999998,88.3683351,ChIJiWGuv8pxAjoR7J1BDAoXPAI,https://www.google.com/maps/place/?q=place_id:ChIJiWGuv8pxAjoR7J1BDAoXPAI,part_318,2026-09-20 20:24:16
Makeup Artist Tanusri,Bridal Makeup Artist,Make-up artist,Make-up artist,712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",+91 98518 36412,N/A,5.0,,"Haldia Township, Haldia, West Bengal 721607",712417,22.029687499999998,88.06168749999999,ChIJjZUtj4b7AjoRxAlRCP-HYK0,https://www.google.com/maps/place/?q=place_id:ChIJjZUtj4b7AjoRxAlRCP-HYK0,part_318,2026-09-20 20:24:16
Riya Ghosh Makeup Artist - Bridal Makeup Academy Dumdum Kolkata,Bridal Makeup Artist,Make-up artist,"Make-up artist, Beautician, Beauty Parlour, Charter school, Training center, Wedding service",712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",+91 95473 06031,https://www.instagram.com/riya_ghosh_makeup_artist,4.9,,"4 no, metro station, gate, near Dum Dum Road, near of Indira maidan, Daga Colony, Bahiragath Colony, Ghosh-para, Dum Dum, Kolkata, West Bengal 700074","Daga Colony, Bahiragath Colony, Ghosh-para, Dum Dum",22.6202445,88.40004979999999,ChIJ0WLTzYGd-DkRIy4awg_pY1s,https://www.google.com/maps/place/?q=place_id:ChIJ0WLTzYGd-DkRIy4awg_pY1s,part_318,2026-09-20 20:24:16
Brides by Ankita- Professional Bridal Make-Up Artist,Bridal Makeup Artist,Make-up artist,Make-up artist,712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",+91 73041 33974,https://www.facebook.com/BridesbyAnkita/,4.8,,"Sonarpur, Naskar Para Rd, Kamrabad, nabashakti, sangha, West Bengal 700150","Kamrabad, nabashakti",22.450393599999998,88.4247735,ChIJezeS3RVzAjoRP3OzE6zLw-M,https://www.google.com/maps/place/?q=place_id:ChIJezeS3RVzAjoRP3OzE6zLw-M,part_318,2026-09-20 20:24:16
Rashmi-The Makeover Artist,Bridal Makeup Artist,Make-up artist,Make-up artist,712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",+91 62945 01797,N/A,4.8,,"Avijan More, Korar Bagan, Bangaon, West Bengal 743235",Korar Bagan,23.0387974,88.83161899999999,ChIJWfDzbnI1_zkRZcjpH8p28D0,https://www.google.com/maps/place/?q=place_id:ChIJWfDzbnI1_zkRZcjpH8p28D0,part_318,2026-09-20 20:24:16
Ankita'Z Makeover,Bridal Makeup Artist,Make-up artist,"Make-up artist, Bridal shop",712417,West Bengal Circle,South Bengal Region,Hooghly North Division,"Rajhati Bandar SO, Bonhijli BO, Jagatpur BO",+91 79083 48745,N/A,4.9,,"Station Rd, Nutan Para, Jalpaiguri, West Bengal 735101",Nutan Para,26.5198724,88.725601,ChIJXZaHXxx55DkRKKs1J3Fddzc,https://www.google.com/maps/place/?q=place_id:ChIJXZaHXxx55DkRKKs1J3Fddzc,part_318,2026-09-20 20:24:16
