business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GOPAL TAX CONSULTANT,Tax and GST Consultant,Tax consultant,Tax consultant,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 76761 31323,N/A,5.0,28.0,"Jaugram St Rd, Amra, West Bengal 713166",713335,23.0826706,88.0802678,ChIJLfLozWNd-DkRxeMKAnGvEiI,https://www.google.com/maps/place/?q=place_id:ChIJLfLozWNd-DkRxeMKAnGvEiI,part_320,2026-09-20 20:17:24
CA. NIRAJ KUMAR SETH,Tax and GST Consultant,Certified public accountant,Certified public accountant,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 98005 15424,https://canirajkumarseth.com/,5.0,291.0,"MOHAN SINGH DANGAL, ARBIND NAGAR, RISHI, Kulti, West Bengal 713343","ARBIND NAGAR, RISHI",23.7317868,86.8299907,ChIJ2WI29kff9jkRQ2EFLBxZvz4,https://www.google.com/maps/place/?q=place_id:ChIJ2WI29kff9jkRQ2EFLBxZvz4,part_320,2026-09-20 20:17:24
ADITYA JINDAL & ASSOCIATES,Tax and GST Consultant,Certified public accountant,Certified public accountant,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 89000 59691,N/A,5.0,23.0,"Grand Trunk Rd, behind Pilaniwala Medical Store, Neamatpur, West Bengal 713359",713335,23.7160136,86.87964579999999,ChIJKyxCZOPh9jkRtu2wcvOJl-Y,https://www.google.com/maps/place/?q=place_id:ChIJKyxCZOPh9jkRtu2wcvOJl-Y,part_320,2026-09-20 20:17:24
CA Ankit Agarwal,Tax and GST Consultant,Certified public accountant,Certified public accountant,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 96359 21890,N/A,4.4,7.0,"Ground Floor, Shanaya Enclave, Radha Nagar Rd, beside S.B.I Bank, Punjabi Para, Burnpur, Asansol, West Bengal 713325","Punjabi Para, Burnpur",23.6860739,86.93974639999999,ChIJfaansX0f9zkRlTx4t-IOY2s,https://www.google.com/maps/place/?q=place_id:ChIJfaansX0f9zkRlTx4t-IOY2s,part_320,2026-09-20 20:17:24
KUMARPUR CSC TATHYA MITRA KENDRA GST SEVA KENDRA,Tax and GST Consultant,Tax attorney,Tax attorney,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,,,"MWXR+62G, Grand Trunk Rd, Munshi Bazar, Asansol, West Bengal 713304",Munshi Bazar,23.6980571,86.94008269999999,ChIJo8GJNPMf9zkRbPLKFWtUS2w,https://www.google.com/maps/place/?q=place_id:ChIJo8GJNPMf9zkRbPLKFWtUS2w,part_320,2026-09-20 20:17:24
Prajjwal Dhar (Tax Mentor),Tax and GST Consultant,Tax preparation service,Tax preparation service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 6295 968 972,N/A,5.0,38.0,"A-Block, Senraleigh, Post Kanyapur, Asansol, Panchgachia, West Bengal 713341",713335,23.7271511,86.9471784,ChIJiRMXIysf9zkRS0Qh41LESwI,https://www.google.com/maps/place/?q=place_id:ChIJiRMXIysf9zkRS0Qh41LESwI,part_320,2026-09-20 20:17:24
Choudhary & Co.,Tax and GST Consultant,Tax consultant,Tax consultant,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 86175 63679,N/A,5.0,2.0,"MORE Super Market Building, Indrani Apartment, HCL Rd, opposite Rajashri Banquet Hall, Chittaranjan, Rupnarayanpur, West Bengal 713386",713335,23.8174194,86.89213439999999,ChIJB1RGUfvf9jkRrNBZYdKyGa8,https://www.google.com/maps/place/?q=place_id:ChIJB1RGUfvf9jkRrNBZYdKyGa8,part_320,2026-09-20 20:17:24
Agarwal Tax Consultancy,Tax and GST Consultant,Accounting firm,"Accounting firm, Financial consultant, Health insurance agency, Life insurance agency, Tax preparation service",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 90640 11816,https://taxguru.in/author/agarwaltaxconsultancy99_1816/,4.9,29.0,"Camp More, Mankar, West Bengal 713144",713335,23.4194402,87.55267289999999,ChIJ5SEqp__V-TkRwx00xzt4RdY,https://www.google.com/maps/place/?q=place_id:ChIJ5SEqp__V-TkRwx00xzt4RdY,part_320,2026-09-20 20:17:24
NS TAX CONSULTANCY,Tax and GST Consultant,Tax preparation service,Tax preparation service,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,http://www.nsconsult.co.in/,5.0,12.0,"96M2+6PR, Mirgahar, Raigram, West Bengal 713422",713335,23.3830645,88.20185649999999,ChIJNQKHDwAB-TkRpZvHtpYyRl4,https://www.google.com/maps/place/?q=place_id:ChIJNQKHDwAB-TkRpZvHtpYyRl4,part_320,2026-09-20 20:17:24
Santosh Kumar Gupta - Freelance Accountant & Excel Expert,Tax and GST Consultant,Accountant,Accountant,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 78580 61401,N/A,4.3,6.0,"Shamshan Road, Mihijam, Jharkhand 815354",713335,23.8472995,86.8824997,ChIJDYbDBe3Z9jkRXCRDh_rFIRw,https://www.google.com/maps/place/?q=place_id:ChIJDYbDBe3Z9jkRXCRDh_rFIRw,part_320,2026-09-20 20:17:24
